source,table_name,row_identifier,target_column,check_id,issue_code,missing_class,missing_information_area,outlier_metric,outlier_consensus_score,cleaning_action,old_value,new_value,reason
general_dqa,lap,lap_id=16362,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16363,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16363,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16364,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16364,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16365,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16365,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16366,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16366,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16367,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16367,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16368,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16368,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16369,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16369,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16370,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16370,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16371,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16371,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16372,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16372,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16373,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16373,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16374,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16374,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16375,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16375,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16376,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16376,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16377,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16377,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16378,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16378,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16379,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16379,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16380,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16380,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16381,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16381,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
general_dqa,lap,lap_id=16382,compound,compound_domain,INVALID_VALUE,,,,,SET_NULL,UNKNOWN,,Unknown compound value was set to NULL because it cannot be mapped deterministically.
general_dqa,lap,lap_id=16382,compound,compound_domain,INVALID_VALUE,,TYRE_INFORMATION,,,ADD_FLAG,NONE,TYRE_INFORMATION,TYRE_INFORMATION is affected after setting an invalid value to NULL.
